idea_id,session,name,category,Joy,Composability,Taste,Compression,Showable,Ethical,Complexity,K_Score,notes
S06-51,06,kg yes-and,CLI/Creation,4,4,5,5,4,5,1,45.65,Improv expansion
S06-52,06,kg safety-cage,CLI/Creation,5,5,5,5,5,5,2,39.40,Break-the-DSL demo
S06-53,06,kg artifact show,CLI/Creation,4,4,5,4,5,5,2,31.36,Beautiful ALO viewer
S06-54,06,kg artifact lineage,CLI/Creation,3,4,5,4,4,5,2,26.90,Git-style history
S06-55,06,kg contract compare,CLI/Creation,3,4,5,4,4,5,2,26.90,Diff contracts
S06-56,06,kg warm-up,CLI/Creation,4,4,4,5,3,5,1,38.23,Daily exercises
S06-57,06,kg surprise-me,CLI/Creation,5,4,4,5,4,5,1,44.58,Random from void
S06-58,06,kg muse,CLI/Creation,4,4,4,4,4,5,2,26.21,Greek muse persona
S06-59,06,kg workshop,CLI/Creation,5,4,5,4,4,5,3,24.70,Full creative session
S06-60,06,kg grammar check,CLI/Creation,3,4,4,4,3,5,2,22.13,Lint a Tongue
S06-61,06,kg forge replay,CLI/Creation,4,4,5,4,5,5,2,31.36,Show creation history
S06-62,06,kg playground,CLI/Creation,5,5,5,5,4,5,3,28.76,Interactive REPL for all
S08-01,08,kg feel,Omega/Proprioception,5,4,5,5,5,5,2,37.21,CROWN - How does body feel?
S08-02,08,Morphology REPL,Omega/Proprioception,5,4,5,4,5,5,2,34.02,Interactive morpheme composer
S08-03,08,kg body sense,Omega/Proprioception,5,4,5,5,5,5,2,37.21,One-line proprioception
S08-04,08,Chrysalis Watcher TUI,Omega/Topology,5,4,5,4,5,5,3,26.34,Watch metamorphosis live
S08-05,08,Morpheme Catalog,Omega/Morphology,4,4,5,4,5,5,2,31.36,Browse infrastructure
S08-06,08,kg morph,Omega/Morphology,4,4,5,4,5,5,2,31.36,Apply morpheme
S08-07,08,Body Stress Alerts,Omega/Proprioception,4,4,5,4,5,5,3,24.28,Proactive warnings
S08-08,08,Topology Graph TUI,Y-gent/Topology,5,4,5,4,5,5,4,21.49,ASCII population tree
S08-09,08,Morphology Cost Preview,Omega/Morphology,4,4,5,4,4,5,2,29.40,Budget transparency
S08-10,08,Branch Visualizer,Y-gent/Topology,5,4,5,4,5,5,4,21.49,Population fork animation
S08-11,08,Body Emoji Status,Omega/Proprioception,5,4,4,4,5,5,2,30.62,Emoji health display
S08-12,08,Morpheme Validator,Omega/Morphology,4,4,5,4,4,5,3,22.76,Check before manifest
S08-13,08,Chrysalis Log,Y-gent/Chrysalis,4,4,5,4,4,5,4,18.57,Transformation narrative
S08-14,08,Y-gent Merge Strategies,Y-gent/Topology,4,4,5,4,5,5,5,16.72,WINNER/ENSEMBLE/CONSENSUS
S08-15,08,Body Diff,Omega/Proprioception,4,4,4,4,4,5,3,20.29,Morphology changes
S08-16,08,Topology Timeline,Y-gent/Topology,4,4,5,4,4,5,5,15.68,Agent lineage viz
S08-17,08,Morphology Templates,Omega/Morphology,3,4,4,4,4,5,2,23.71,Common patterns
S08-18,08,Proprioception History,Omega/Proprioception,4,4,4,4,4,5,4,16.55,Body metrics over time
S08-19,08,Branch Budget Forecast,Y-gent/Topology,4,4,4,4,4,5,5,13.98,Can I afford 10 variants?
S08-20,08,Body Simulator,Omega/Proprioception,5,4,4,4,4,5,5,15.31,What-if morphology
S08-21,08,kg body --live,Omega/CLI,4,4,5,4,4,5,3,22.76,Live-updating TUI
S08-22,08,kg topology dot,Y-gent/CLI,4,4,4,4,4,5,4,16.55,Export Graphviz
S08-23,08,kg morph --dry-run,Omega/CLI,3,4,4,4,3,5,2,22.13,Preview morph
S08-24,08,Chrysalis Failure Recovery,Y-gent/Chrysalis,4,4,5,4,4,5,5,15.68,Rollback on failed
S08-25,08,Dream Log Analyzer,Y-gent/Chrysalis,4,3,4,4,4,5,5,12.98,Parse chrysalis dreams
S09-01,09,Symbiont Playground,D-gent/State,5,5,5,4,5,5,2,36.02,Pure logic + memory separation
S09-02,09,State Before/After,D-gent/State,4,5,5,5,5,5,2,36.48,kg state diff
S09-03,09,Memory Layers,D-gent/State,5,4,5,4,5,5,3,26.34,All modes at once
S09-04,09,Wheres My State,D-gent/State,3,5,5,5,4,5,1,44.68,Inspect any D-gent
S09-05,09,State Timeline,D-gent/State,5,4,5,4,5,5,2,34.02,Scrub through states
S09-06,09,Live State Sync,D-gent/State,4,4,4,4,5,5,2,27.95,Two terminals same state
S09-07,09,State Pulse,D-gent/State,4,4,4,4,5,5,1,39.46,Heartbeat indicator
S09-08,09,Am I Volatile,D-gent/State,3,5,5,5,4,5,1,44.68,What survives restart?
S09-09,09,Memory Type Detective,D-gent/State,3,4,4,4,4,5,1,33.47,Reveal implementation
S09-10,09,Lens Playground,D-gent/Lens,5,5,5,4,5,5,2,36.02,Interactive composition
S09-11,09,Lens Law Validator,D-gent/Lens,4,5,5,4,4,5,2,31.27,Visualize violations
S09-12,09,Prism Explorer,D-gent/Lens,4,4,5,4,5,5,2,31.36,Optional fields
S09-13,09,Traversal Painter,D-gent/Lens,5,4,5,4,5,5,2,34.02,Modify all matching
S09-14,09,Lens Debugger,D-gent/Lens,4,4,5,4,4,5,2,29.40,Step through get/set
S09-15,09,Focus Path,D-gent/Lens,4,5,5,5,4,5,1,48.56,Drill into nested
S09-16,09,Multi-Lens View,D-gent/Lens,5,4,5,4,5,5,2,34.02,Split screen lenses
S09-17,09,Lens Telescope,D-gent/Lens,5,5,5,4,5,5,2,36.02,Compose interactively
S09-18,09,What Can I Focus,D-gent/Lens,4,4,5,4,4,5,2,29.40,Auto-discover paths
S09-19,09,Crystal Gallery,D-gent/Crystal,5,4,5,4,5,5,2,34.02,Browse saved crystals
S09-20,09,Crystallize Now,D-gent/Crystal,4,5,5,5,4,5,1,48.56,Instant checkpoint
S09-21,09,Resume Explorer,D-gent/Crystal,5,4,5,4,5,5,2,34.02,Pick from saved
S09-22,09,Crystal Lineage Tree,D-gent/Crystal,5,4,5,4,5,5,2,34.02,Parent/child branches
S09-23,09,Cherish Mode,D-gent/Crystal,5,4,5,5,5,5,1,52.54,Prevent reaping
S09-24,09,Crystal Reaper Dashboard,D-gent/Crystal,4,4,5,4,5,5,2,31.36,TTL countdown
S09-25,09,Time Travel Debug,D-gent/Crystal,5,5,5,5,5,5,3,30.50,Step forward through history
S09-26,09,Crystal Diff,D-gent/Crystal,4,4,5,4,5,5,2,31.36,Compare crystals
S09-27,09,Registry TUI,L-gent/Registry,5,4,5,4,5,5,2,34.02,Browse all registered
S09-28,09,What Exists,L-gent/Registry,3,5,5,5,4,5,1,44.68,One-liner registry
S09-29,09,Semantic Search,L-gent/Registry,5,4,5,4,5,5,2,34.02,Fuzzy matching
S09-30,09,Type Compatibility,L-gent/Registry,4,5,5,5,4,5,2,34.40,Can-compose check
S09-31,09,Freshness Heatmap,L-gent/Registry,4,4,5,4,5,5,2,31.36,Color by last_used
S09-32,09,Lineage Tree,L-gent/Lineage,5,4,5,4,5,5,2,34.02,ASCII successor_to
S09-33,09,Blame Tracker,L-gent/Lineage,5,4,5,4,5,5,2,34.02,Full provenance
S09-34,09,Impact Analysis,L-gent/Lineage,5,4,5,4,5,5,2,34.02,Deprecating X breaks Y
S09-35,09,Ancestor Breadcrumbs,L-gent/Lineage,4,4,4,4,4,5,1,37.00,Evolution path
S09-36,09,Fork Detector,L-gent/Lineage,5,4,5,4,5,5,2,34.02,When artifacts diverged
S09-37,09,Dependency Walker,L-gent/Lineage,4,4,5,4,4,5,2,29.40,Walk depends_on
S09-38,09,Lineage Export,L-gent/Lineage,4,4,5,4,5,5,2,31.36,DOT for Graphviz
S09-39,09,Garden Growth,D-gent/Garden,5,4,5,4,5,5,3,26.34,Seed to tree lifecycle
S09-40,09,Compost Pile,D-gent/Garden,5,3,5,3,5,5,2,29.02,Decomposing mulch
S09-41,09,Trust Thermometer,D-gent/Garden,4,4,5,4,5,5,1,44.27,Visual trust 0-1
S09-42,09,Evidence Counter,D-gent/Garden,4,4,5,4,5,5,2,31.36,Supporting vs contradicting
S09-43,09,Memory Mycelium,D-gent/Garden,5,4,5,4,5,5,3,26.34,Hidden connections
S11-01,11,kg sparkline,I-gent/CLI,4,4,5,5,5,5,1,48.42,Paste numbers get sparkline
S11-02,11,kg weather,I-gent/CLI,4,4,5,5,5,5,1,48.42,Agent activity summary
S11-03,11,Error Flash,I-gent/Widget,5,4,5,4,5,5,1,48.03,Screen glitches on errors
S11-04,11,Entropy Playground,I-gent/Widget,5,4,5,4,5,5,1,48.03,Slider distorts text
S11-05,11,LOD Slider,I-gent/Widget,4,4,5,4,5,5,1,44.27,Smooth ORBIT to INTERNAL
S11-06,11,kg viz,I-gent/CLI,4,4,5,4,5,5,1,44.27,Launch FluxScreen
S11-07,11,kg density,I-gent/CLI,5,4,5,4,5,5,2,34.02,Text as density field
S11-08,11,kg loom,I-gent/CLI,4,4,5,4,4,5,1,41.50,Show cognitive tree
S11-09,11,kg shadow,I-gent/CLI,5,4,5,5,4,5,1,49.54,Rejected paths
S11-10,11,Oblique Flash,I-gent/Widget,5,4,5,4,5,5,1,48.03,High entropy -> strategy
S11-11,11,Glitch Button,I-gent/Widget,5,3,4,3,5,5,1,36.62,Press for chaos
S11-12,11,Density ASCII Art,I-gent/Widget,5,3,5,3,5,5,1,40.97,Type -> weather
S11-13,11,Breath Sync,I-gent/Widget,5,3,5,3,5,5,1,40.97,All agents pulse
S11-14,11,kg entropy,I-gent/CLI,3,4,5,4,4,5,1,37.97,System uncertainty
S11-15,11,kg glitch,I-gent/CLI,5,3,5,3,5,5,1,40.97,Corrupt with Zalgo
S11-16,11,kg breathe,I-gent/CLI,5,3,5,3,5,5,1,40.97,Start breathing anim
S11-17,11,Cognitive Tree Animator,I-gent/Widget,5,4,5,4,5,5,2,34.02,Watch branches grow
S11-18,11,Shadow Gallery,I-gent/Widget,5,4,5,4,5,5,2,34.02,All rejected paths
S11-19,11,Agent Constellation,I-gent/Widget,5,3,5,3,5,5,2,29.02,GraphLayout as stars
S11-20,11,Temperature Lab,I-gent/Widget,5,4,5,4,5,5,2,34.02,Multiple sliders
S11-21,11,Timeline Scrubber,I-gent/Widget,5,4,5,4,5,5,2,34.02,Drag through history
S11-22,11,Entropy Heatmap,I-gent/Widget,4,4,5,4,5,5,2,31.36,Uncertainty hotspots
S11-23,11,Event Stream Waterfall,I-gent/Widget,4,4,5,4,5,5,2,31.36,Events cascading
S11-24,11,FluxScreen Replay,I-gent/Widget,4,4,5,4,5,5,2,31.36,Record and playback
S11-25,11,Glitch Poetry,I-gent/Widget,5,3,5,3,5,5,2,29.02,Corrupted text as art
S11-26,11,Loom Navigator,I-gent/Widget,5,5,5,4,5,5,2,36.02,Keyboard tree navigation
S11-27,11,Why Did You Choose,I-gent/Widget,5,4,5,4,4,5,2,31.90,Click branch see reasoning
S11-28,11,Agent Garden,I-gent/Widget,5,4,5,4,5,5,3,26.34,Drag agents watch updates
S11-29,11,Stigmergic Trails,I-gent/Widget,5,4,5,4,5,5,3,26.34,Visualize pheromones
S11-30,11,Hint Inspector,I-gent/Widget,4,4,5,4,4,5,2,29.40,Hints agent emitting
S11-31,11,LOD Comparison,I-gent/Widget,4,4,5,4,5,5,2,31.36,Split all 3 levels
S11-32,11,Breath Meditation,I-gent/Widget,5,3,5,3,5,5,2,29.02,Full-screen breathing
S11-33,11,Wire Tap Overlay,I-gent/Widget,4,4,5,4,5,5,2,31.36,See all messages
S11-34,11,Pheromone Trails,I-gent/Widget,5,4,5,4,5,5,2,34.02,Stigmergic heatmap
S11-35,11,Connection Animator,I-gent/Widget,5,4,5,4,5,5,2,34.02,Flows between agents
S11-36,11,Throughput Gauge,I-gent/Widget,4,4,5,4,5,5,2,31.36,Real-time message rate
S11-37,11,Dead Letter Queue,I-gent/Widget,4,4,5,4,4,5,2,29.40,Failed messages viz
S11-38,11,Synapse Visualizer,I-gent/Widget,5,4,5,4,5,5,3,26.34,Neural event flow
S11-39,11,Flux Pipeline Diagram,I-gent/Widget,5,4,5,4,5,5,3,26.34,Live pipeline viz
S11-40,11,Entropy Ocean,I-gent/Widget,5,3,5,3,5,5,2,29.02,Waves of uncertainty
S11-41,11,Cognitive Terrarium,I-gent/Widget,5,4,5,4,5,5,3,26.34,Watch agents evolve
S11-42,11,Void Meditation,I-gent/Widget,5,2,5,3,5,5,1,38.41,Stare into glitch
S11-43,11,Density Rain,I-gent/Widget,5,3,5,3,5,5,2,29.02,Matrix-style rain
S11-44,11,Glitch Screensaver,I-gent/Widget,5,3,5,3,5,5,2,29.02,Ambient entropy art
S11-45,11,Breath Garden,I-gent/Widget,5,3,5,3,5,5,2,29.02,Different rates
S12-01,12,kgents tools,U-gent/Tools,4,4,5,4,5,5,2,31.36,MCP server browser
S12-02,12,Tool Composition Builder,U-gent/Tools,5,5,5,4,5,5,3,27.89,Visual pipeline
S12-03,12,Circuit Breaker Dashboard,U-gent/Tools,5,4,5,4,5,5,2,34.02,Live tool health
S12-04,12,kgents execute,U-gent/Tools,4,4,5,5,4,5,1,45.65,One-liner tool runner
S12-05,12,Permission Visualizer,U-gent/Tools,4,4,5,4,5,5,2,31.36,ABAC matrix
S12-06,12,Audit Trail Viewer,U-gent/Tools,4,4,5,4,4,5,2,29.40,What agent did
S12-07,12,Tool Latency Heatmap,U-gent/Tools,4,4,5,4,5,5,2,31.36,Performance viz
S12-08,12,MCP Server Playground,U-gent/Tools,5,4,5,4,4,5,3,24.70,Spin up local
S12-09,12,Retry Strategy Tester,U-gent/Tools,5,4,5,4,5,5,2,34.02,Simulate failures
S12-10,12,Parallel vs Sequential,U-gent/Tools,5,4,5,4,5,5,2,34.02,Compare execution
S12-11,12,Tool Capability Cards,U-gent/Tools,4,4,5,5,5,5,1,48.42,Pretty documentation
S12-12,12,kgents secure,U-gent/Tools,3,4,5,5,3,5,1,39.24,Permission checker
S12-13,12,kgents parse,P-gent/Parsing,5,5,5,5,5,5,1,55.63,CROWN - Universal parser
S12-14,12,Confidence Thermometer,P-gent/Parsing,4,4,5,4,5,5,1,44.27,Emoji gradient
S12-15,12,Repair Timeline,P-gent/Parsing,5,4,5,4,5,5,2,34.02,Every fix in order
S12-16,12,Probabilistic AST,P-gent/Parsing,5,4,5,4,5,5,3,26.34,Click uncertain nodes
S12-17,12,Format Drift Detector,P-gent/Parsing,5,4,5,4,5,5,2,34.02,LLM getting sloppier
S12-18,12,Malformed Input Generator,P-gent/Parsing,5,4,5,4,5,5,2,34.02,Break intentionally
S12-19,12,Parser Battle,P-gent/Parsing,5,4,5,4,5,5,2,34.02,Pit strategies
S12-20,12,Streaming Parse Viz,P-gent/Parsing,5,4,5,4,5,5,2,34.02,Stack-balancing live
S12-21,12,kgents coerce,P-gent/Parsing,4,4,5,4,4,5,2,29.40,Fuzzy parse anything
S12-22,12,Low Confidence Paths,P-gent/Parsing,4,4,5,4,5,5,2,31.36,Highlight uncertain
S12-23,12,Reflection Loop Viz,P-gent/Parsing,5,4,5,4,5,5,2,34.02,LLM self-correct
S12-24,12,kgents reality,J-gent/JIT,5,5,5,5,5,5,1,55.63,CROWN - DET/PROB/CHAOTIC
S12-25,12,Reality Wheel,J-gent/JIT,5,4,4,4,5,5,2,30.62,Spinning classification
S12-26,12,Chaos Meter,J-gent/JIT,5,4,4,4,5,5,2,30.62,Chaos detection
S12-27,12,kgents stable,J-gent/JIT,4,4,5,5,4,5,1,45.65,Quick stability check
S12-28,12,Stability Report Card,J-gent/JIT,4,4,5,4,5,5,2,31.36,Cyclomatic etc
S12-29,12,Import Risk Map,J-gent/JIT,4,4,5,4,5,5,2,31.36,Dangerous imports
S12-30,12,JIT Compilation Demo,J-gent/JIT,5,4,5,4,5,5,2,34.02,Watch compilation
S12-31,12,Promise Chain Viz,J-gent/JIT,5,4,5,4,5,5,3,26.34,Lazy computation
S12-32,12,Entropy Budget Bar,J-gent/JIT,5,4,5,5,5,5,1,52.54,Gamified resources
S12-33,12,kgents compile,J-gent/JIT,5,4,5,4,5,5,2,34.02,JIT compile intent
S12-34,12,Sandbox Escape Test,J-gent/JIT,5,4,5,4,5,5,3,26.34,Try to break out
S12-35,12,Collapse Ceremony,J-gent/JIT,5,4,5,5,5,5,1,52.54,Dramatic Ground fallback
S12-36,12,Reality Flip Notification,J-gent/JIT,4,4,4,4,4,5,2,26.21,Alert type changes
S13-01,13,kgents observe,O-gent/Observation,5,4,5,5,5,5,2,37.21,One-line health check
S13-02,13,kgents panopticon,O-gent/Observation,5,4,5,4,5,5,3,26.34,Live ASCII dashboard
S13-03,13,kgents drift,O-gent/Observation,5,4,5,4,5,5,2,34.02,Are we on topic?
S13-04,13,kgents roc,O-gent/Observation,4,4,5,4,5,5,3,24.28,Return on Compute
S13-05,13,Bootstrap Witness CLI,O-gent/Observation,4,5,5,4,5,5,3,25.83,Do laws hold?
S13-06,13,Borromean Knot Viz,O-gent/Observation,5,4,5,4,5,5,5,18.15,RSI rings
S13-07,13,kgents hallucinate,O-gent/Observation,5,4,5,4,4,5,4,20.15,Grounding check
S13-08,13,VoI Budget Viz,O-gent/Observation,4,4,5,4,4,5,5,15.68,Observation economics
S13-09,13,Dimension Dance TUI,O-gent/Observation,5,4,5,4,5,5,5,18.15,Three-axis vitals
S13-10,13,Observer Functor REPL,O-gent/Observation,5,4,5,4,4,5,5,17.01,Interactive O(f)=f
S13-11,13,Topology Graph,O-gent/Observation,4,4,5,4,4,5,5,15.68,Composition viz
S13-12,13,Psychosis Demo,O-gent/Observation,5,4,4,4,4,5,4,18.13,Knot failure
S13-13,13,Entropy Weather,O-gent/Observation,5,4,5,4,5,5,4,21.49,System as weather
S13-14,13,Observer Hierarchy Viz,O-gent/Observation,4,4,4,4,4,5,4,16.55,Who watches watchers
S13-15,13,Noethers Theorem Demo,O-gent/Observation,5,4,5,4,4,5,4,20.15,Intent conservation
S14-01,14,Would Kent Approve Live,Cross/K+Judge,5,5,5,5,5,5,1,55.63,CROWN - Ethics + Soul
S14-02,14,N Parses Superposition,Cross/P+Uncertain,5,5,5,5,5,5,1,55.63,CROWN - Quantum parsers
S14-03,14,Living Garden Viz,Cross/I+Flux,5,5,5,5,5,5,1,55.63,CROWN - Breathing system
S14-04,14,Soul Tension Detector,Cross/K+Contradict,5,5,5,5,5,5,1,55.63,CROWN - Git checks soul
S14-05,14,Circuit Breaker Dashboard,Cross/U+Circuit+I,5,5,5,5,5,5,1,55.63,CROWN - Already Session 12
S14-06,14,Time-Travel Form Replay,Cross/Witness+Shape,5,5,5,5,5,5,1,55.63,CROWN - Shapeshifter history
S14-07,14,Dialectical Narrative,Cross/H+N,5,4,5,4,5,5,2,34.02,Contradictions -> plot
S14-08,14,Instant Metaphor Finder,Cross/Psi+Problem,5,4,5,5,5,5,1,52.54,3 metaphors instantly
S14-09,14,Evolution Visualizer,Cross/E+I,5,4,5,4,5,5,2,34.02,Watch evolution live
S14-10,14,Memory Story Pipeline,Cross/M+N,5,4,5,4,5,5,2,34.02,Autobiography
S14-11,14,Sleep Processes Questions,Cross/Quest+Consol,4,4,5,5,5,5,1,48.42,Marinate overnight
S14-12,14,Convergence Replay,Cross/Fix+Witness,5,4,5,4,5,5,1,48.03,Watch iteration
S14-13,14,Recursion Trace,Cross/Spawn+Witness,5,4,5,4,5,5,1,48.03,Beautiful tree
S14-14,14,Why This Tension,Cross/Dialect+Quest,4,4,5,4,5,5,1,44.27,Socratic dialectics
S14-15,14,Token Economy Dashboard,Cross/B+I,5,4,5,4,5,5,2,34.02,Beautiful economics
S14-16,14,Adversarial Poetry,Cross/T+Creativity,5,4,4,4,5,5,2,30.62,Constraints breed genius
S14-17,14,Grammar Prevents Danger,Cross/G+Safety,5,5,5,5,4,5,2,37.15,Grammatically impossible
S14-18,14,Would Kent Allow,Cross/U+Perm+K,4,4,5,4,4,5,2,29.40,Soul-governed perms
S14-19,14,Recursive JIT,Cross/J+Spawner,5,4,5,4,5,5,2,34.02,JIT agents spawn JIT
S14-20,14,How Does Body Feel,Cross/Omega+Sensation,5,4,5,4,5,5,2,34.02,Proprioception
S14-21,14,Parse Replay,Cross/P+Witness,4,4,5,4,5,5,2,31.36,Step by step
S14-22,14,What Would Kent Synth,Cross/K+H+N,5,5,5,5,5,5,2,39.40,Soul+Logic+Story
S14-23,14,Self-Healing Pipeline,Cross/U+P+J,5,5,5,5,5,5,3,30.50,Resilience default
S14-24,14,N Syntheses Explorer,Cross/Unc+Dial+Spawn,5,4,5,4,5,5,2,34.02,Explore all
S14-25,14,Three-Lens Replay,Cross/Wit+Intro+Shape,5,4,5,4,5,5,2,34.02,Hegel+Lacan+Jung
S14-26,14,Soul-Aware Garden,Cross/I+Flux+K,5,4,5,4,5,5,2,34.02,Prioritize aligned
S14-27,14,Socratic Sleep Synthesis,Cross/Q+C+D,5,5,5,5,5,5,2,39.40,Therapist while sleep
S14-28,14,Tool Output Forensics,Cross/P+U+Witness,4,4,5,4,5,5,2,31.36,Debug archaeology
S14-29,14,Ethical Code Review,Cross/Full-stack,5,5,5,5,5,5,2,39.40,Git + soul
S14-30,14,Category Law Prover,Cross/Full-stack,5,5,5,5,5,5,3,30.50,Visual proof
S14-31,14,Parallel Possibility,Cross/Full-stack,5,5,5,5,5,5,3,30.50,Explore N options
S14-32,14,Tension Story Dashboard,Cross/Full-stack,5,4,5,4,5,5,3,26.34,Dialectic viz
S14-33,14,Dream Memory Evolution,Cross/Full-stack,5,4,5,4,5,5,3,26.34,Sleep -> evolve
S14-34,14,Ultimate Dashboard,Cross/Full-stack,5,5,5,5,5,5,4,24.89,Everything one glance
S14-35,14,Thank You Entropy,Cross/Wild,5,4,5,4,4,5,2,31.90,Celebrate failures
S14-36,14,Future Narratives,Cross/Wild,5,4,5,4,5,5,3,26.34,Predict week ahead
S14-37,14,Kents Creative Mode,Cross/Wild,5,4,5,4,4,5,3,24.70,Soul-tuned creativity
S15-01,15,Philosopher Tour Script,Tour/Philosophy,5,4,5,4,5,5,3,26.34,60s category theory
S15-02,15,Developer Tour Script,Tour/Developer,5,4,5,4,5,5,2,34.02,60s practical
S15-03,15,Skeptic Tour Script,Tour/Skeptic,4,4,5,4,5,5,4,19.80,Prove it works
S15-04,15,Visual Tour Script,Tour/Visual,5,4,5,4,5,5,1,48.03,60s LOD transitions
S15-05,15,What If Tour Script,Tour/Curious,5,4,5,4,5,5,2,34.02,60s possibilities
S15-06,15,Soul Tour Script,Tour/Soul,5,4,5,5,5,5,1,52.54,60s K-gent modes
S15-07,15,One-Liner Tour Script,Tour/Speed,4,4,5,5,4,5,1,45.65,30s best commands
S15-08,15,Bootstrap Verification,Demo/Party,5,5,5,5,5,5,5,21.01,Self-regeneration
S15-09,15,K-gent Shadow Detection,Demo/Party,5,4,5,5,5,5,1,52.54,Meta-awareness
S15-10,15,Parse with Confidence,Demo/Party,5,4,5,4,5,5,2,34.02,78% confident
S15-11,15,Dialectical Debugger,Demo/Party,5,4,5,4,5,5,4,21.49,Watch synthesis
S15-12,15,Stigmergic Field,Demo/Party,5,5,5,5,5,5,1,55.63,Living dashboard
