idea_name,source_session,joy,composability,taste,compression,showable,ethical,complexity,k_score,category,ethical_gate,notes
Forge Playground,session-06,4,4,4,4,4,5,3,17.41,Solid,PASS,Sandbox for experiments
Intent Refiner,session-06,3,4,5,4,3,5,2,25.05,Strong Win,PASS,Clarifying questions
Artifact Health Dashboard,session-06,3,4,4,4,4,5,3,15.96,Solid,PASS,Test pass rates
Quick Forge Mode,session-06,4,4,5,4,3,5,2,26.51,Strong Win,PASS,Skip validation for prototyping
Forge Templates Gallery,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Curated examples
kg create,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Interactive creation wizard
kg oblique,session-06,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Oblique Strategy prompt
kg payada,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Payada battle
kg brainstorm,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Quick creativity session
kg grammar try,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Instant DSL generation
kg forge,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Start forge workflow
kg blend,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Fauconnier blending
kg constrain,session-06,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Generate constraints
kg yes-and,session-06,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Improv-style expansion
kg safety-cage,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Break-the-DSL demo
kg artifact show,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,ALO viewer in terminal
kg artifact lineage,session-06,3,4,5,4,4,5,2,27.75,Strong Win,PASS,Git-style artifact history
kg contract compare,session-06,3,4,5,4,4,5,2,27.75,Strong Win,PASS,Diff contracts
kg warm-up,session-06,4,4,5,4,3,5,1,34.34,Strong Win,PASS,Daily exercises
kg surprise-me,session-06,5,3,5,3,4,5,1,34.67,Strong Win,PASS,Random entropy prompt
kg muse,session-06,4,4,5,4,4,5,2,29.21,Strong Win,PASS,Invoke Greek muse
kg workshop,session-06,5,4,5,4,4,5,3,23.66,Solid,PASS,Full creative session
kg grammar check,session-06,3,4,5,4,3,5,2,25.05,Strong Win,PASS,Lint Tongue
kg forge replay,session-06,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Show creation history
kg playground,session-06,5,4,5,4,4,5,3,23.66,Solid,PASS,Interactive REPL for creation
CreativityCoach + WundtCurator,session-06,4,5,5,4,4,5,2,32.33,Strong Win,PASS,Auto-filter brainstorm
G-gent + F-gent Handshake,session-06,5,5,5,4,5,5,4,24.19,Solid,PASS,Forged artifacts include DSL
PAYADOR + Skeleton,session-06,5,4,4,3,4,5,4,14.57,Consider,PASS,Bidirectional improv
Oblique + Pataphysics,session-06,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Lateral + imaginary solutions
Blending + Forge,session-06,4,4,5,4,4,5,3,20.43,Solid,PASS,Synthesize hybrid agents
Grammar + Safety Cage,session-06,5,5,5,4,5,5,3,28.39,Strong Win,PASS,Un-breakable DSL demo
CreativityCoach + K-gent,session-06,4,4,5,4,4,5,3,20.43,Solid,PASS,Personalized creativity
Forge + L-gent Search,session-06,4,4,5,4,4,5,3,20.43,Solid,PASS,Search reuse register
ALO + Terrarium,session-06,4,4,5,4,5,5,4,18.85,Solid,PASS,Live artifact monitoring
Grammar + Flux,session-06,3,4,4,4,3,5,4,12.46,Consider,PASS,Stream-process DSL commands
# Session 08: Omega Infrastructure
kg feel,session-08,5,4,5,4,5,5,2,34.00,Strong Win,PASS,How does my body feel
Morphology REPL,session-08,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Interactive morpheme composer
kg body sense,session-08,5,4,5,4,5,5,2,34.00,Strong Win,PASS,One-line proprioception
Chrysalis Watcher TUI,session-08,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Watch metamorphosis live
Morpheme Catalog,session-08,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Browse composable infra
kg morph,session-08,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Apply morpheme to agent
Body Stress Alerts,session-08,4,4,5,4,5,5,3,23.66,Solid,PASS,Agent is OOMing
Topology Graph TUI,session-08,5,4,5,4,5,5,4,22.67,Solid,PASS,ASCII agent population tree
Morphology Cost Preview,session-08,4,4,5,4,4,5,2,29.21,Strong Win,PASS,This will cost 1200 tokens
Branch Visualizer,session-08,5,4,5,4,5,5,4,22.67,Solid,PASS,Watch population fork
Body Emoji Status,session-08,5,3,4,3,5,5,2,23.58,Solid,PASS,Emoji mood rings
Morpheme Validator,session-08,4,4,5,4,4,5,3,20.43,Solid,PASS,Check before manifest
Chrysalis Log,session-08,4,4,5,4,4,5,4,17.03,Solid,PASS,Transformation narrative
Y-gent Merge Strategies,session-08,4,4,5,4,5,5,5,15.28,Solid,PASS,WINNER/ENSEMBLE/CONSENSUS
Body Diff,session-08,4,4,4,4,4,5,3,17.41,Solid,PASS,What changed in morphology
Topology Timeline,session-08,4,4,5,4,4,5,5,13.61,Consider,PASS,Agent lineage viz
Morphology Templates,session-08,3,4,4,4,4,5,2,21.18,Solid,PASS,Give me GPU agent
Proprioception History,session-08,4,4,4,4,4,5,4,14.51,Consider,PASS,Body metrics over time
Branch Budget Forecast,session-08,4,4,4,4,4,5,5,12.10,Consider,PASS,Can I afford 10 variants
Body Simulator,session-08,5,4,4,3,4,5,7,8.39,Consider,PASS,What if I add 5 replicas
kg body --live,session-08,4,4,5,4,4,5,3,20.43,Solid,PASS,Live-updating proprioception
kg topology dot,session-08,4,4,4,4,5,5,4,15.95,Solid,PASS,Export as Graphviz
kg morph --dry-run,session-08,3,4,5,4,3,5,2,25.05,Strong Win,PASS,Preview morph
kg body export,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,Export as JSON/CSV
kg chrysalis abort,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,Emergency stop
kg body compare,session-08,3,4,4,4,3,5,4,12.46,Consider,PASS,Compare two bodies
Omega + B Cost Enforcement,session-08,3,4,4,4,3,5,4,12.46,Consider,PASS,B-gent blocks over-budget
Omega + N Chronicle,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,N-gent logs morphology
Y + V Termination,session-08,4,4,4,4,4,5,5,12.10,Consider,PASS,V-gent validates merge
Psi to Omega Suggestions,session-08,4,4,4,3,4,5,6,10.24,Consider,PASS,Metaphors suggest morphemes
O-gent Body Observer,session-08,3,4,4,4,3,5,4,12.46,Consider,PASS,Body dimension for O-gent
Morpheme DSL,session-08,4,4,4,3,4,5,6,10.24,Consider,PASS,Natural language to morphology
Morphology Diff,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,Compare two morphologies
Morpheme Recommender,session-08,4,4,4,3,4,5,5,11.10,Consider,PASS,You might want X
Visual Morphology Builder,session-08,5,4,4,3,4,5,8,7.68,Reconsider,PASS,Drag-drop GUI
Morpheme Combos,session-08,4,4,4,3,4,5,4,13.66,Consider,PASS,Macros for common patterns
Pain Localization,session-08,4,4,4,3,4,5,5,11.10,Consider,PASS,Which replica struggles
Body Heatmap,session-08,4,4,5,4,5,5,6,12.76,Consider,PASS,Viz across all agents
Trauma Replay,session-08,4,3,4,3,4,5,4,12.08,Consider,PASS,What happened before OOMKill
Custom Morphemes,session-08,4,4,4,4,4,5,6,10.93,Consider,PASS,User-defined blocks
Morpheme Chaining,session-08,3,4,4,3,3,5,4,11.13,Consider,PASS,Auto-suggests next
Morpheme Conflicts,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,Detect incompatible
Morpheme Marketplace,session-08,5,4,4,3,4,5,9,7.14,Reconsider,PASS,Community morphemes
Morpheme Versioning,session-08,3,4,4,3,3,5,5,9.52,Consider,PASS,Track API changes
Topology Metrics,session-08,3,4,4,4,3,5,4,12.46,Consider,PASS,Branch depth merge rate
Prune Strategies,session-08,4,4,4,3,4,5,5,11.10,Consider,PASS,Keep top-k variants
Topology Replay,session-08,4,4,4,3,4,5,6,10.24,Consider,PASS,Rerun branch from history
Convergence Detector,session-08,4,4,4,4,4,5,5,12.10,Consider,PASS,All variants same result
Divergence Alerts,session-08,3,4,4,3,3,5,4,11.13,Consider,PASS,Variants diverging
Chrysalis Failure Recovery,session-08,4,4,5,4,4,5,6,12.07,Consider,PASS,Rollback on failed morph
Dream Log Analyzer,session-08,4,3,4,3,4,5,5,9.87,Consider,PASS,Parse dreams for insight
Chrysalis Cost Optimizer,session-08,3,4,4,3,3,5,6,8.88,Consider,PASS,Minimize morphology cost
Parallel Chrysalis,session-08,4,4,4,3,4,5,7,9.02,Consider,PASS,Morph multiple simultaneously
Body Health Score,session-08,3,4,4,4,3,5,3,14.96,Consider,PASS,Single 0-100 metric
# Session 09: D-gents State
Symbiont Playground,session-09,5,5,5,4,5,5,2,38.27,Strong Win,PASS,Pure logic + memory separation
State Before/After,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Show state changes
Memory Layers,session-09,5,4,5,4,5,5,3,25.49,Strong Win,PASS,All memory modes at once
Where's My State,session-09,3,4,5,4,4,5,1,35.39,Strong Win,PASS,Inspect any D-gent state
State Timeline,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Scrub through states
Symbiont Composer,session-09,5,4,4,3,5,5,3,18.26,Solid,PASS,Drag-drop onto memory
Live State Sync,session-09,4,4,4,3,5,5,2,21.95,Solid,PASS,Two terminals same state
State Pulse,session-09,4,3,5,3,5,5,1,29.67,Strong Win,PASS,Heartbeat when writes
Am I Volatile,session-09,3,4,5,4,4,5,1,35.39,Strong Win,PASS,Which D-gents survive
Memory Type Detective,session-09,3,4,4,4,4,5,1,27.48,Strong Win,PASS,Reveal D-gent impl
Lens Playground,session-09,5,5,5,4,5,5,2,38.27,Strong Win,PASS,Interactive lens composition
Lens Law Validator,session-09,4,5,4,4,4,5,2,27.09,Strong Win,PASS,Visualize law violations
Prism Explorer,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Optional fields exist/don't
Traversal Painter,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Modify all matching elements
Lens Debugger,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Step through get/set
Focus Path,session-09,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Drill into nested state
Multi-Lens View,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Split screen lenses
Lens Telescope,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Compose lenses interactively
What Can I Focus,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Discover lensable paths
Lens Performance,session-09,3,4,4,3,3,5,2,17.82,Solid,PASS,Benchmark composed lenses
Crystal Gallery,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Browse saved crystals
Crystallize Now,session-09,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Instant checkpoint
Resume Explorer,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Pick from saved crystals
Crystal Lineage Tree,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Visualize branches
Cherish Mode,session-09,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Prevent reaping
Crystal Reaper Dashboard,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,TTL countdown
Time Travel Debug,session-09,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Load crystal step forward
Compression Showdown,session-09,4,3,4,3,4,5,2,18.79,Solid,PASS,Compare gzip lz4 zstd
Crystal Diff,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,State delta
Auto-Crystallize,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Trigger on transitions
Registry TUI,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Textual browser
What Exists,session-09,3,4,5,4,4,5,1,35.39,Strong Win,PASS,All registered entities
Semantic Search,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Fuzzy matching search
Type Compatibility,session-09,4,5,4,4,4,5,2,27.09,Strong Win,PASS,Can compose agent1 agent2
Registry Stats,session-09,3,3,4,3,4,5,2,15.95,Solid,PASS,Pie chart of types
Freshness Heatmap,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Color by last_used
Deprecation Warnings,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Suggest replacements
Auto-Register on Invoke,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Self-register
Usage Analytics,session-09,3,3,4,3,3,5,2,14.62,Consider,PASS,Track invocations
Registry Diff,session-09,4,3,4,3,4,5,2,18.79,Solid,PASS,Compare snapshots
Lineage Tree,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,ASCII successor/fork
Blame Tracker,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Full provenance
Impact Analysis,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Deprecating X breaks Y
Ancestor Breadcrumbs,session-09,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Evolution path
Fork Detector,session-09,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Diverged from ancestor
Dependency Walker,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Walk depends_on graph
Lineage Export,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,DOT for Graphviz
Relationship Heatmap,session-09,3,3,4,3,4,5,2,15.95,Solid,PASS,Which types most common
Contradict Detector L,session-09,4,4,4,4,4,5,2,22.64,Solid,PASS,Cycles or impossible
Lineage Time Machine,session-09,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Scrub to see registry
Garden Growth,session-09,5,3,4,3,5,5,3,15.40,Solid,PASS,Watch lifecycle
Compost Pile,session-09,5,2,4,2,5,5,2,17.80,Solid,PASS,Deprecated as mulch
Trust Thermometer,session-09,4,3,5,3,5,5,1,29.67,Strong Win,PASS,Visual trust indicator
Evidence Counter,session-09,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Supporting vs contradicting
Memory Mycelium,session-09,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Network of connections
# Session 11: I-gents Visualization
Entropy Playground,session-11,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Slider distorts text
Glitch Button,session-11,5,2,4,2,5,5,1,24.67,Solid,PASS,Press for chaos
Density ASCII Art,session-11,5,3,4,2,5,5,1,26.67,Strong Win,PASS,Type text see density
Breath Sync,session-11,5,2,4,2,5,5,1,24.67,Solid,PASS,All agents pulse unison
LOD Slider,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Smooth zoom ORBIT to INTERNAL
Phase Transition,session-11,5,2,4,2,5,5,1,24.67,Solid,PASS,Watch agent materialize
Sparkline Generator,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Paste numbers get sparkline
What's My Entropy,session-11,3,4,5,4,4,5,1,35.39,Strong Win,PASS,One-liner entropy report
Oblique Flash,session-11,5,3,5,3,5,5,1,36.67,Strong Win,PASS,High entropy triggers Oblique
Agent Weather Report,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,K-gent Active slight glitch
Cognitive Tree Animator,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Watch branches grow
Shadow Gallery,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,All rejected paths
Agent Constellation,session-11,5,3,4,2,5,5,2,21.00,Solid,PASS,GraphLayout as star field
Density Mandala,session-11,5,2,4,1,5,5,2,17.80,Solid,PASS,Circular density fields
Temperature Lab,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Interconnected sliders
Timeline Scrubber,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Drag through history
Entropy Heatmap,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Grid showing hotspots
Triad Symphony,session-11,5,3,4,2,5,5,2,21.00,Solid,PASS,XYZ as audio waveforms
Event Stream Waterfall,session-11,4,4,4,3,5,5,2,21.95,Solid,PASS,Events cascading
FluxScreen Replay,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Record and playback
Glitch Poetry,session-11,5,2,4,2,5,5,2,17.80,Solid,PASS,Corrupted text as art
Density Field Editor,session-11,5,3,4,3,5,5,3,15.40,Solid,PASS,Paint agents with brush
Loom Navigator,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Keyboard-driven tree
Why Did You Choose,session-11,5,4,4,3,4,5,2,23.58,Solid,PASS,Click branch see reasoning
Agent Garden,session-11,5,4,4,3,5,5,3,18.26,Solid,PASS,Drag watch connections
Stigmergic Trails,session-11,5,4,4,3,5,5,3,18.26,Solid,PASS,Visualize pheromone paths
Hint Inspector,session-11,4,4,4,3,4,5,2,20.49,Solid,PASS,See all hints
LOD Comparison,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Split screen 3 levels
Entropy Race,session-11,5,3,4,2,5,5,2,21.00,Solid,PASS,Who glitches first
Breath Meditation,session-11,5,3,4,3,5,5,2,23.58,Solid,PASS,Full-screen breathing
kg viz,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Launch FluxScreen demo
kg density,session-11,5,3,5,3,5,5,1,36.67,Strong Win,PASS,Text as density field
kg sparkline,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Generate sparkline
kg entropy,session-11,3,4,5,4,4,5,1,35.39,Strong Win,PASS,System entropy
kg glitch,session-11,5,3,5,2,5,5,1,32.67,Strong Win,PASS,Corrupt with Zalgo
kg weather,session-11,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Agent activity summary
kg loom,session-11,4,4,5,4,4,5,1,38.95,Strong Win,PASS,Show cognitive tree
kg shadow viz,session-11,5,3,5,3,4,5,1,32.67,Strong Win,PASS,Rejected paths
kg hint,session-11,3,4,4,4,4,5,1,27.48,Strong Win,PASS,Agent hints
kg breathe,session-11,5,2,4,2,5,5,1,24.67,Solid,PASS,Breathing animation
Wire Tap Overlay,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,See all messages
Pheromone Trails,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Stigmergic heatmap
Connection Animator,session-11,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Watch flows
Broadcast Radar,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Pulse when broadcasts
Error Flash,session-11,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Screen glitches on errors
Throughput Gauge,session-11,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Real-time message rate
Dead Letter Queue,session-11,4,4,4,4,4,5,2,22.64,Solid,PASS,Visualize failed messages
Circuit Breaker Status,session-11,3,4,4,4,4,5,2,21.18,Solid,PASS,Open/closed/half-open
Synapse Visualizer,session-11,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Neural-style flow
Flux Pipeline Diagram,session-11,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Live pipeline viz
Agent Aurora,session-11,5,2,4,1,5,5,2,17.80,Solid,PASS,Density as northern lights
Entropy Ocean,session-11,5,2,4,1,5,5,2,17.80,Solid,PASS,Waves of uncertainty
Cognitive Terrarium,session-11,5,4,4,3,5,5,3,18.26,Solid,PASS,Watch agents evolve
Time Crystal,session-11,5,3,4,2,5,5,3,15.18,Solid,PASS,Crystallize as geometry
Void Meditation,session-11,5,2,4,1,5,5,1,24.67,Solid,PASS,Stare into glitch
Agent Haiku,session-11,5,3,4,2,5,5,2,21.00,Solid,PASS,Poetry from state
Density Rain,session-11,5,2,4,1,5,5,2,17.80,Solid,PASS,Matrix falling chars
Shadow Speaks,session-11,5,3,4,3,4,5,2,21.56,Solid,PASS,Rejected paths narrate
Glitch Screensaver,session-11,5,2,4,1,5,5,2,17.80,Solid,PASS,Entropy as ambient art
Breath Garden,session-11,5,3,4,2,5,5,2,21.00,Solid,PASS,Agents breathe at rates
# Session 12: Tools Parsing JIT
kgents parse,session-12,5,5,5,5,5,5,1,53.73,Crown Jewel,PASS,Confidence-interval parsing
kgents reality,session-12,5,5,5,5,5,5,1,53.73,Crown Jewel,PASS,Reality classification
JIT Type Forge,session-12,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Types on first use
Tool Confidence Inspector,session-12,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,Show parsing confidence
Parse History,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Track parsing over time
Fuzzy Coercion Demo,session-12,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Watch values coerce
Reality Probe,session-12,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Test reality classification
Type Inference Dashboard,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Live type inference
Parse Diff,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Compare parsing approaches
Tool Registry Browser,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Browse all tools
Reality Taxonomy,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Classification tree
Confidence Calibration,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Calibrate parsing
JIT Compilation Viewer,session-12,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Watch types compile
Parse Playground,session-12,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Interactive parsing
Reality Challenge,session-12,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Edge case testing
Tool Composition Checker,session-12,4,5,5,4,5,5,2,35.36,Strong Win,PASS,Can tools compose
Parse Failure Analysis,session-12,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Why parsing failed
Reality Drift Detector,session-12,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Classification changing
# Session 13: O-gents Observation
kgents observe,session-13,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Launch O-gent observer
kgents panopticon,session-13,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Full system observation
kgents drift,session-13,5,4,5,4,5,5,1,45.33,Crown Jewel,PASS,Detect semantic drift
kgents roc,session-13,4,4,5,4,5,5,1,42.56,Crown Jewel,PASS,ROC curve for classification
Borromean Knot Visualizer,session-13,5,4,5,4,5,5,2,34.00,Strong Win,PASS,XYZ knotted together
VoI Budget Viz,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Value of Information
Observation Timeline,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Observations over time
Semantic Manifold Map,session-13,5,4,5,4,5,5,3,25.49,Strong Win,PASS,Curved semantic space
Observer Effect Demo,session-13,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Observation changes system
Drift Alert System,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Alert on drift
Triadic Health Dashboard,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,XYZ all at once
Observation History,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Full observation log
ROC Interactive,session-13,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Interactive ROC curves
Calibration Checker,session-13,4,4,5,4,5,5,2,31.91,Strong Win,PASS,Is observer calibrated
# Session 14: Cross-Pollination
Would Kent Approve,session-14,5,5,5,5,5,5,1,53.73,Crown Jewel,PASS,K-gent judges using principles
N Parses in Superposition,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Multiple parses until collapse
Living Garden Viz,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,D-gent garden in I-gent
Soul Tension Detector,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,K + H find soul tensions
Circuit Breaker Dashboard,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Flux + I visualization
Time-Travel Form Replay,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,D + I + N replay forms
Dialectic Density,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,H tensions as I-gent density
Witness Weather,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,N-gent traces as weather
Tool Compose Preview,session-14,4,5,5,4,5,5,2,35.36,Strong Win,PASS,U + L composition preview
Dialectic Parse,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,P + H conflicting parses
Archetypes in Viz,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,Archetype as visual modes
Shadow Observation,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,O + H blind spot detection
Reality-Grounded Parses,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,J + P reality checks
Test Dialectic Viz,session-14,4,5,5,4,5,5,2,35.36,Strong Win,PASS,T + H + I test tensions
Narrative Drift Detection,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,N + O story drift
Creativity Viz,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,A + I brainstorm visual
Grammar Tension,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,G + H grammar conflicts
Forge Observer,session-14,4,4,5,4,5,5,2,31.91,Strong Win,PASS,F + O watch forge process
Memory Weather,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,D + I memory as weather
Lineage Tension,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,L + H lineage conflicts
Triad Proprioception Viz,session-14,5,5,5,5,5,5,3,32.86,Strong Win,PASS,Omega + O + I body viz
Topology Witness,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Y + N + I population story
Evolution Dialectic,session-14,5,5,5,5,5,5,3,32.86,Strong Win,PASS,E + H mutation tensions
Flux Parse Stream,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Flux + P streaming parse
Full Stack Demo,session-14,5,5,5,5,5,5,4,27.39,Strong Win,PASS,All agents in one demo
Test Lineage Tension,session-14,4,5,5,4,5,5,2,35.36,Strong Win,PASS,T + L + H test evolution
Narrative Parse,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,N + P story parsing
Registry Dialectic,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,L + H catalog tensions
Witness Proprioception,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,N + Omega body narrative
Forge Creativity,session-14,5,4,5,4,5,5,3,25.49,Strong Win,PASS,F + A creative forging
Type Lineage Viz,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,P + L + I type evolution
Evolution Observer,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,E + O watch evolution
Creativity Witness,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,A + N brainstorm story
Reality Parse Viz,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,J + P + I reality parsing
Bootstrap Viz,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Bootstrap laws visualized
Memory Lineage,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,D + L memory evolution
Topology Observer,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Y + O population observer
Grammar Observer,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,G + O grammar monitoring
Forge Type Lineage,session-14,5,5,5,5,5,5,3,32.86,Strong Win,PASS,F + P + L artifact types
Test Evolution Viz,session-14,5,5,5,5,5,5,3,32.86,Strong Win,PASS,T + E + I test evolution
Creativity Parse,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,A + P creative parsing
Narrative Lineage,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,N + L story evolution
Type Dialectic,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,P + H type conflicts
Bootstrap Dialectic,session-14,5,5,5,5,5,5,2,41.17,Crown Jewel,PASS,Bootstrap tensions
Memory Observer,session-14,5,5,5,4,5,5,2,38.27,Strong Win,PASS,D + O memory watching
Forge Witness,session-14,5,4,5,4,5,5,2,34.00,Strong Win,PASS,F + N forge story
